dataset,method,true_class,class_size,H_Z_given_Y_class,effective_fragments,occupied_predicted_clusters,dominant_predicted_cluster_share,second_largest_predicted_cluster_share
Iris,PSF-CE,0,50.0,0.03267970442657733,1.0343353088147165,1.3333333333333333,0.9933333333333333,0.006666666666666667
Iris,PSF-CE,1,50.0,0.543022605868442,1.7213129642050742,2.0,0.7666666666666666,0.2333333333333333
Iris,PSF-CE,2,50.0,0.6155640775307757,1.8509359007330881,2.0,0.6933333333333334,0.3066666666666667
Iris,RANGE,0,50.0,0.09803911327973198,1.1030059264441496,2.0,0.98,0.02
Iris,RANGE,1,50.0,0.5510799280869728,1.7351258175456958,2.0,0.7600000000000001,0.24
Iris,RANGE,2,50.0,0.6155640775307757,1.8509359007330881,2.0,0.6933333333333334,0.3066666666666667
Iris,YACHT,0,50.0,0.29212340891720584,1.393488680651501,2.0,0.8466666666666667,0.15333333333333335
Iris,YACHT,1,50.0,0.6209527902627802,1.87000733151868,2.3333333333333335,0.7000000000000001,0.29333333333333333
Iris,YACHT,2,50.0,0.5229753042145157,1.7145555049186296,2.3333333333333335,0.7733333333333334,0.22
Leukemia,CEHM,0,47.0,0.6090507476035167,1.8386851937915394,2.0,0.7021276595744682,0.2978723404255319
Leukemia,CEHM,1,25.0,0.5929533174474745,1.8093240408798608,2.0,0.7200000000000001,0.28
Leukemia,GPEC,0,47.0,0.6278683464068412,1.874280097347259,2.0,0.673758865248227,0.326241134751773
Leukemia,GPEC,1,25.0,0.5929533174474745,1.8093240408798608,2.0,0.7200000000000001,0.28
Leukemia,HBGF,0,47.0,0.6090507476035167,1.8386851937915394,2.0,0.7021276595744682,0.2978723404255319
Leukemia,HBGF,1,25.0,0.5650377245404733,1.7598585586570838,2.0,0.7466666666666667,0.25333333333333335
Leukemia,MCLA,0,47.0,0.6090507476035167,1.8386851937915394,2.0,0.7021276595744682,0.2978723404255319
Leukemia,MCLA,1,25.0,0.578995520993974,1.7845912997684723,2.0,0.7333333333333334,0.26666666666666666
Leukemia,PSF-CE,0,47.0,0.6090507476035167,1.8386851937915394,2.0,0.7021276595744682,0.2978723404255319
Leukemia,PSF-CE,1,25.0,0.5929533174474745,1.8093240408798608,2.0,0.7200000000000001,0.28
Leukemia,RANGE,0,47.0,0.6466859452101658,1.9098750009029788,2.0,0.6453900709219859,0.3546099290780142
Leukemia,RANGE,1,25.0,0.5929533174474745,1.8093240408798608,2.0,0.7200000000000001,0.28
Leukemia,YACHT,0,47.0,0.6595144515188913,1.9350790792349681,2.0,0.6099290780141845,0.3900709219858156
Leukemia,YACHT,1,25.0,0.5929533174474745,1.8093240408798608,2.0,0.7200000000000001,0.28
Leukemia2,CEHM,0,28.0,0.9622671964081487,2.625904222546889,3.0,0.5595238095238095,0.27380952380952384
Leukemia2,CEHM,1,24.0,0.0,1.0,1.0,1.0,0.0
Leukemia2,CEHM,2,20.0,0.1985152433458726,1.2195906179141718,2.0,0.9499999999999998,0.05000000000000001
Leukemia2,GPEC,0,28.0,0.7550564332461275,2.129918812514539,2.6666666666666665,0.6547619047619048,0.27380952380952384
Leukemia2,GPEC,1,24.0,0.18744504820626942,1.2515884502011076,1.3333333333333333,0.9166666666666666,0.08333333333333333
Leukemia2,GPEC,2,20.0,0.41757305131580486,1.597391829552479,2.3333333333333335,0.7999999999999999,0.18333333333333335
Leukemia2,HBGF,0,28.0,0.6666232788798013,1.9488818514682178,2.3333333333333335,0.6071428571428571,0.38095238095238093
Leukemia2,HBGF,1,24.0,0.5454701208850087,1.7259073825622027,2.0,0.7638888888888888,0.23611111111111113
Leukemia2,HBGF,2,20.0,0.7542473677023248,2.1355173363953805,2.3333333333333335,0.5833333333333334,0.3666666666666667
Leukemia2,MCLA,0,28.0,0.5531656939334377,1.7424207505203666,2.0,0.75,0.25
Leukemia2,MCLA,1,24.0,0.4332441121804245,1.552054541688989,2.0,0.8333333333333334,0.16666666666666666
Leukemia2,MCLA,2,20.0,0.7676152985536651,2.1581808492833416,2.6666666666666665,0.6,0.3666666666666667
Leukemia2,PSF-CE,0,28.0,0.8246281463063793,2.28425357792922,3.0,0.6904761904761906,0.17857142857142858
Leukemia2,PSF-CE,1,24.0,0.0,1.0,1.0,1.0,0.0
