dataset,method,ACC,NMI,ARI,F1
Isolet,LinearPair,0.60897435897435892,0.050995534336719495,0.062935995000379774,0.58085170733048119
Isolet,PSF-CE,0.60897435897435892,0.050995534336719495,0.062935995000379774,0.58085170733048119
Isolet,Poly2,0.60897435897435892,0.050995534336719495,0.062935995000379774,0.58085170733048119
Isolet,RANGE,0.53183760683760684,0.0061713269243335546,0.0066805243826770664,0.52424339960918731
Isolet,YACHT,0.5705128205128206,0.020056160963559697,0.024891415771002099,0.55649267426612636
LandUse-21,AggregatePower,0.21571428571428566,0.31266646563174577,0.098348353692790158,0.17174144407426409
LandUse-21,CA,0.21571428571428566,0.31266646563174577,0.098348353692790158,0.17174144407426409
LandUse-21,CEHM,0.063174603174603147,0.032440519451439567,0.0012420334086372335,0.025562866295167699
LandUse-21,LinearPair,0.21571428571428566,0.31266646563174577,0.098348353692790158,0.17174144407426409
LandUse-21,PSF-CE,0.21555555555555553,0.31223272368558264,0.099705209626709201,0.17021966204005171
LandUse-21,Poly2,0.21873015873015869,0.31065535746763423,0.098230868814625061,0.17209138247562125
LandUse-21,RANGE,0.30079365079365078,0.36425251102421896,0.15803491615330542,0.30490943354596928
LandUse-21,YACHT,0.28349206349206346,0.3575829177562681,0.14637455405290398,0.2894417150210864
Letter,AggregatePower,0.27179999999999999,0.39005602003309864,0.13050072566722673,0.2845548692692691
Letter,CA,0.27179999999999999,0.39005602003309864,0.13050072566722673,0.2845548692692691
Letter,CEHM,0.26681666666666665,0.38387914531131767,0.11506265590381308,0.27960764992783277
Letter,LinearPair,0.27433333333333332,0.38859095114110059,0.12976177954050419,0.28513237964970434
Letter,PSF-CE,0.27174999999999999,0.3858554789400645,0.12757703402123341,0.28309862949291659
Letter,Poly2,0.27433333333333332,0.38859095114110059,0.12976177954050419,0.28513237964970434
Letter,RANGE,0.26669999999999999,0.37153625219877712,0.1522418840416421,0.27094729897604131
Letter,YACHT,0.25566666666666665,0.36395997743954878,0.14256947101411421,0.26224072488999706
Leukemia,AggregatePower,0.70833333333333337,0.12531250648530329,0.162077515013866,0.69509981851179659
Leukemia,CA,0.70833333333333337,0.12531250648530329,0.162077515013866,0.69509981851179659
Leukemia,CEHM,0.70833333333333337,0.12531250648530329,0.162077515013866,0.69509981851179659
Leukemia,LinearPair,0.70833333333333337,0.12531250648530329,0.162077515013866,0.69509981851179659
Leukemia,PSF-CE,0.70833333333333337,0.12531250648530329,0.162077515013866,0.69509981851179659
Leukemia,Poly2,0.70833333333333337,0.12531250648530329,0.162077515013866,0.69509981851179659
Leukemia,RANGE,0.67129629629629628,0.094387533778117219,0.10845060248630241,0.66135297788697256
Leukemia,YACHT,0.59259259259259256,0.054007544590889994,0.045706097399845234,0.58779417038077186
Leukemia2,AggregatePower,0.60185185185185197,0.46743271761603283,0.34445302044529186,0.49296730512535986
Leukemia2,CA,0.60185185185185197,0.46743271761603283,0.34445302044529186,0.49296730512535986
Leukemia2,CEHM,0.55092592592592593,0.36630694911863754,0.21816022421655112,0.44813405342522511
Leukemia2,LinearPair,0.59722222222222221,0.43388412066281939,0.32593200111922987,0.48738161931439244
Leukemia2,PSF-CE,0.60185185185185197,0.46743271761603283,0.34445302044529186,0.49296730512535986
Leukemia2,Poly2,0.58333333333333337,0.37871520043924772,0.28090406995229239,0.47408296651994125
Leukemia2,RANGE,0.65740740740740733,0.36376386602571364,0.30810671737666373,0.65047208130021283
Leukemia2,YACHT,0.62962962962962965,0.33704964365936124,0.26705608386521218,0.62574030235181288
MFeat-pix,AggregatePower,0.78883333333333339,0.79936933690381584,0.71722040977900958,0.78433996595261213
MFeat-pix,CA,0.78883333333333339,0.79936933690381584,0.71722040977900958,0.78433996595261213
MFeat-pix,CEHM,0.78866666666666674,0.79450698584102997,0.70163755845054399,0.76377692644467154
MFeat-pix,LinearPair,0.84066666666666656,0.81198258046717353,0.7505412184453869,0.83803787981127831
MFeat-pix,PSF-CE,0.84033333333333327,0.81153367642172203,0.74996275512129706,0.83764290025894528
MFeat-pix,Poly2,0.84066666666666656,0.81198258046717353,0.7505412184453869,0.83803787981127831
MFeat-pix,RANGE,0.82566666666666666,0.76891162743642416,0.69495026885734879,0.82724441936126036
MFeat-pix,YACHT,0.71316666666666662,0.71373794027630133,0.59162210895913547,0.70472251428496058
MSRC-v1,AggregatePower,0.73650793650793656,0.67377265363880412,0.59318960570274881,0.70528497971706627
MSRC-v1,CA,0.73650793650793656,0.67661832697964408,0.59204413464901717,0.70355118482848944
MSRC-v1,CEHM,0.40634920634920629,0.37095373229351808,0.22734551488392216,0.32718028377506131
MSRC-v1,LinearPair,0.7412698412698413,0.68904551866792296,0.60039365243518816,0.70817485909749489
MSRC-v1,PSF-CE,0.73809523809523814,0.68016081025242325,0.59510394490604579,0.70495522073310335
