dataset,pool,variant,method,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,status
BBC News Sport,1,w/o interaction,CA,737,5,20,0.5020352781546812,0.3306448345041274,0.1371864410022806,0.5264122150172055,0.1065401999949244,ok
Amazon Photo,2,w/o interaction,CA,7650,8,20,0.5901960784313726,0.5394254804350345,0.3691174235269814,0.5198924034172916,0.6167583000060404,ok
BBC News Sport,2,w/o interaction,CA,737,5,20,0.4871099050203528,0.3344728182403627,0.1861748124368996,0.4418638477985178,0.1246370000008028,ok
BBC-MV,0,w/o interaction,CA,685,5,20,0.32992700729927,0.0106854001133137,-0.000693262347382,0.1059053382674903,0.123654399998486,ok
BBC-MV,1,w/o interaction,CA,685,5,20,0.32992700729927,0.0154017697119373,0.0027410570017182,0.1188705591597158,0.130199100007303,ok
BBC-MV,2,w/o interaction,CA,685,5,20,0.3313868613138686,0.0164056816277134,0.0034702039349121,0.1194048025707627,0.1113537000055657,ok
BBCSport-MV,0,w/o interaction,CA,544,5,20,0.4944852941176471,0.2607852314802768,0.090382064435618,0.3526399328434481,0.1159380000026431,ok
BBCSport-MV,1,w/o interaction,CA,544,5,20,0.4871323529411764,0.2487698531810076,0.0826790186907248,0.3465725185789578,0.0987562999944202,ok
BBCSport-MV,2,w/o interaction,CA,544,5,20,0.4852941176470588,0.2548033415456885,0.0901315695281246,0.3377445193276009,0.1067773999966448,ok
100Leaves,0,w/o interaction,CA,1600,100,20,0.8325,0.9213136833960912,0.63872325344547,0.830025123046459,5.248130799998762,ok
100Leaves,1,w/o interaction,CA,1600,100,20,0.8,0.920620185685454,0.6356637735607239,0.784038821135885,5.872872100007953,ok
100Leaves,2,w/o interaction,CA,1600,100,20,0.8225,0.9298380804230943,0.7133734964920379,0.814855118149775,5.564861499995459,ok
COIL20,0,w/o interaction,CA,1440,20,20,0.6798611111111111,0.8122435416874325,0.6456838827346848,0.6625780051413829,0.4335194000013871,ok
COIL20,1,w/o interaction,CA,1440,20,20,0.7236111111111111,0.8223975978323744,0.6754377997643961,0.7114904698464013,0.4839317999867489,ok
COIL20,2,w/o interaction,CA,1440,20,20,0.6972222222222222,0.8072484721103235,0.6314226460833477,0.6821626470874873,0.4389213999966159,ok
Caltech101-20,0,w/o interaction,CA,2386,20,20,0.2669740150880134,0.4063243639836919,0.1688702747001669,0.2071146596696639,0.5321638000023086,ok
Caltech101-20,1,w/o interaction,CA,2386,20,20,0.2648784576697401,0.3954900828121541,0.1398064288042694,0.2095340858389398,0.5649234000011347,ok
Caltech101-20,2,w/o interaction,CA,2386,20,20,0.268650461022632,0.4028551790827343,0.1595528467676638,0.2132035172026172,0.5779364000045462,ok
Caltech101-20-MV,0,w/o interaction,CA,2386,20,20,0.4568315171835708,0.610035432886692,0.3621786953807361,0.4300920450400535,0.8171491999964928,ok
Caltech101-20-MV,1,w/o interaction,CA,2386,20,20,0.5041911148365466,0.6408844531225647,0.3829372273460018,0.4795283986683556,0.836629700002959,ok
Cardiotocography,0,w/o interaction,CA,2126,10,20,0.405456255879586,0.3622773317439922,0.1820543622125359,0.3539486698773683,0.2995059000095352,ok
Caltech101-20-MV,2,w/o interaction,CA,2386,20,20,0.479463537300922,0.6221931126857088,0.3443743860431976,0.4356700937458481,0.98312459999579,ok
Cardiotocography,1,w/o interaction,CA,2126,10,20,0.4063969896519285,0.356552362539216,0.1768868786223101,0.3591332831589423,0.3382882000005338,ok
Chameleon,0,w/o interaction,CA,2277,5,20,0.3227931488801054,0.0645215350884265,0.0473192878258633,0.2713430424915679,0.1296208999992814,ok
Cardiotocography,2,w/o interaction,CA,2126,10,20,0.4134524929444967,0.3557101284694359,0.1811494863099025,0.3639584698290655,0.2912574999936623,ok
Chameleon,1,w/o interaction,CA,2277,5,20,0.3227931488801054,0.0645215350884266,0.0473192878258633,0.2713430424915679,0.1036133000015979,ok
Chameleon,2,w/o interaction,CA,2277,5,20,0.3227931488801054,0.0645215350884266,0.0473192878258633,0.2713430424915679,0.1270081999973626,ok
CiteSeer,0,w/o interaction,CA,3312,6,20,0.3876811594202898,0.1507510644141583,0.1621997844455341,0.3212054279307047,0.1738642999989679,ok
CiteSeer,1,w/o interaction,CA,3312,6,20,0.3774154589371981,0.1482827618820251,0.1583724912129784,0.3041988805620221,0.1974458999902708,ok
CiteSeer,2,w/o interaction,CA,3312,6,20,0.3713768115942029,0.1397271142679083,0.1490828086566087,0.3024993790670865,0.1747797999996692,ok
