dataset,pool,group,task_family,split,source_id,method,params,status,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,spectral_seconds,objective,rounding_objective,eig_max,eig_min_topc,commutator_ratio,interaction_scale,solver,rounding,sweeps,moves,history_json,rounding_candidates_json,skip_reason
Movies617,1,CONTENT_RELATION_8,,formal,,LinearPair,"{""lambda"": 3.0}",ok,617,17,20,0.12641815235008103,0.10794660870299565,0.00729707810963346,0.06497149141199088,0.32698930001060944,0.009019500008434989,,26.11994305086647,2.7529654587930525,0.9541920915416928,1.4452075769889793e-16,3.635646777745235,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 21.0325401140818, ""kmeans_norm"": 12.5782752545269, ""kmeans_raw"": 26.11994305086647}",
Movies617,1,CONTENT_RELATION_8,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,617,17,20,0.12641815235008103,0.10857498673650988,0.007431279225782751,0.06516958337367085,0.35718639999686275,0.010191599998506717,,10.818989991201207,1.0000000000000002,0.4306659870260587,0.002730678211879044,3.699289640367319,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 8.730152048101672, ""kmeans_norm"": 6.029884952913144, ""kmeans_raw"": 10.818989991201207}",
Movies617,1,CONTENT_RELATION_8,,formal,,Poly2,"{""eta"": 8.0}",ok,617,17,20,0.12641815235008103,0.10794660870299566,0.00729707810963346,0.06488781640571525,0.3206359000032535,0.008735600000363775,,22.348104989349203,2.2498196514616855,0.8549834213617071,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 18.054344374432734, ""kmeans_norm"": 11.190021484095894, ""kmeans_raw"": 22.348104989349203}",
NGs,0,TEXT_MV,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,500,5,20,0.21,0.02299490091482457,0.00011056189768457511,0.08691134485616847,0.0872910000034608,0.000833400001283735,,2.654690345579004,1.0000000000000016,0.27382351668488825,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 2.2903621154359817, ""kmeans_norm"": 1.837728008381033, ""kmeans_raw"": 2.654690345579004}",
NGs,0,TEXT_MV,,formal,,CA,{},ok,500,5,20,0.21,0.02299490091482457,0.00011056189768457511,0.08691134485616847,0.08743879999383353,0.0008335000020451844,,2.1656358964345745,1.0000000000000013,0.2796287584910834,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 1.9732999380595564, ""kmeans_norm"": 1.6899135487153363, ""kmeans_raw"": 2.1656358964345745}",
NGs,0,TEXT_MV,,formal,,LinearPair,"{""lambda"": 3.0}",ok,500,5,20,0.21,0.02299490091482457,0.00011056189768457511,0.08691134485616847,0.08636970000225119,0.0009103999909712002,,6.516427285797852,1.7031785986084287,1.0365915209243328,2.796139414903469e-16,4.947162493289075,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 3.7763649457357302, ""kmeans_norm"": 3.007692569693507, ""kmeans_raw"": 6.516427285797852}",
NGs,0,TEXT_MV,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,500,5,20,0.21,0.02299490091482457,0.00011056189768457511,0.08691134485616847,0.08574330000556074,0.0009150999976554886,,3.158042945535098,1.0000000000000013,0.5012460689899508,0.0023091059576230756,4.96610184111037,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 2.770303263151599, ""kmeans_norm"": 2.208005542269224, ""kmeans_raw"": 3.158042945535098}",
NGs,0,TEXT_MV,,formal,,Poly2,"{""eta"": 8.0}",ok,500,5,20,0.21,0.02299490091482457,0.00011056189768457511,0.08691134485616847,0.08193590000155382,0.0008056000078795478,,4.935687968654394,1.159182266171807,0.9051666990932007,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 4.206673297604544, ""kmeans_norm"": 3.1594937698366783, ""kmeans_raw"": 4.935687968654394}",
NGs,1,TEXT_MV,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,500,5,20,0.206,0.015480269156409545,-3.853876421598665e-06,0.07899528207854344,0.0847001999936765,0.0008360000065295026,,2.146820287697359,1.0000000000000007,0.0552983075788647,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 1.914705656758788, ""kmeans_norm"": 1.8707472538966465, ""kmeans_raw"": 2.146820287697359}",
NGs,1,TEXT_MV,,formal,,CA,{},ok,500,5,20,0.206,0.015480269156409545,-3.853876421598665e-06,0.07899528207854344,0.08449249999830499,0.0008854000043356791,,2.187852886747768,1.0000000000000007,0.25068911427819074,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 2.056687022206777, ""kmeans_norm"": 1.8841456781553192, ""kmeans_raw"": 2.187852886747768}",
